Autoencoder_1,Autoencoder_2
1.0,0.9999999999999918
1.0,0.9999999999999547
1.0,0.9999999999999512
1.0,0.9999999999999845
1.0,0.9999999999999163
0.9999999999999998,0.9999999999999631
0.9999999999999998,0.9999999999999838
0.9999999999999993,0.9999999999999976
0.9999999999999998,0.9999999999999685
0.9999999999999993,0.9999999999999876
0.9999999999999998,0.9999999999999551
0.9999999999999993,0.9999999999999976
0.9999999999999998,0.9999999999999638
0.9999999999999809,0.9999999999999278
0.9999999999999503,0.999999999999998
0.9999999999999989,0.9999999999999891
0.9999999999999984,0.9999999999999964
0.9999999999999987,0.9999999999999596
0.9999999999999998,0.9999999999999727
0.9999999999999998,0.9999999999999736
0.9999999999999956,0.999999999999976
0.9999999999999984,0.9999999999999702
1.0,0.9999999999999889
0.9999999999999971,0.999999999999998
0.9999999999999907,0.9999999999999929
0.9999999999999865,0.9999999999999931
0.9999999999999818,0.9999999999999964
0.9999999999999984,0.9999999999999891
1.0,0.9999999999999973
0.999999999999994,0.9999999999999936
0.999999999999998,0.999999999999998
0.9999999999999998,0.9999999999999516
0.999999999999982,0.999999999999964
0.9999999999999967,0.9999999999999349
0.9999999999999993,0.9999999999998157
0.999999999999994,0.9999999999999836
0.9999999999999614,0.9999999999999827
0.9999999999999996,0.9999999999999645
0.9999999999999707,0.9999999999999929
0.9999999999999776,0.9999999999999978
0.9999999999998248,0.9999999999999984
0.999999999999998,0.9999999999999916
0.9999999999999889,0.9999999999999916
0.999999999999966,0.9999999999999465
0.99999999999998,0.9999999999998801
0.999999999999964,0.9999999999999867
0.9999999999996159,1.0
0.999999999999984,0.9999999999999951
0.9999999999992355,0.9999999999999993
0.9999999999982487,1.0
0.9999999999999429,0.999999999999996
0.9999999999996305,0.9999999999999989
0.9999999999999023,0.9999999999999949
0.9999999999999976,0.9999999999999938
0.9999999999995954,0.9999999999999944
0.999999999999911,0.9999999999999498
0.9999999999985962,0.9999999999999993
0.9999999999995672,0.9999999999999873
0.9999999999996139,0.9999999999999967
0.9999999999998666,0.9999999999999991
0.9999999999841733,0.9999999999999911
0.9999999999997438,0.9999999999999738
0.9999999999999982,0.9999999999999627
0.9999999999999238,0.9999999999999765
0.9999999999986002,1.0
0.9999999999999889,0.9999999999999942
0.9999999999999944,0.9999999999997793
0.9999999999999367,0.9999999999999438
