Weight_kg_x,age_x,Height_cm_x, score1_x, score2_x, score3_x, score4_x, score5_x, score6_x,First_Name_x,Gender_x,Last_Name_x,Overall_Points_x,Percentiles100_x,Region_x,athlete_ID_x,nameURL_x,overall-rank_x,sex&division_x,overall-rank_y, score1_y, score2_y, score3_y, score4_y, score5_y, score6_y,Weight_kg_y,age_y,Height_cm_y,athlete_ID_y,nameURL_y,First_Name_y,Last_Name_y,Region_y,sex&division_y,Gender_y,Overall_Points_y,Percentiles100_y,Component_1_AC_Female_Trans,Component_2_AC_Female_Trans,Labels_AC_Female_Trans_MDS,Component_1_SL_Female_Trans,Component_2_SL_Female_Trans,Labels_SL_Female_Trans_MDS,Autoencoder_1_AC_Female_Trans_2,Autoencoder_2_AC_Female_Trans_2,Labels_AC_Female_Trans_2_Auto,Autoencoder_1_SL_Female_Trans_2,Autoencoder_2_SL_Female_Trans_2,Labels_SL_Female_Trans_2_Auto
0.5714285714285714,0.21875,0.5384615384615382,0.9801980198019802,0.8689547581903276,0.9550561797752809,1.0,0.8530020703933747,1.0,Kristan,F,Clever,1774.0,99,Southern California,10557,/athletes/kristan-clever,1,F0,1,397.0,558.0,86.0,168.0,413.0,152.0,60.0,28.0,157.48,10557,/athletes/kristan-clever,Kristan,Clever,Southern California,F0,F,1774.0,99,-2.418713832244402,-8.331722473283126,0,346.025089463358,145.7145424013057,3,0.4934769613611396,0.5016247434754083,3,0.49466554963540005,0.5641450968440764,0
0.6428571428571429,0.109375,0.71290127195639,1.0,0.9110764430577223,0.9775280898876404,0.7664670658682635,1.0,0.9470198675496688,Annie,F,Thorisdottir,1835.0,99,Europe,40597,/athletes/annie-thorisdottir,1,F0,1,405.0,585.0,88.0,129.0,484.0,144.0,67.0,21.0,169.0,40597,/athletes/annie-thorisdottir,Annie,Thorisdottir,Europe,F0,F,1835.0,99,-11.59738667572859,4.18488710893112,1,427.6275362401578,-16.934425572664704,3,0.4990791937780496,0.4912659834751467,3,0.5050519592636651,0.5636564606693857,0
0.5714285714285714,0.234375,0.6977589339794064,0.9727722772277227,0.8034321372854915,0.9550561797752809,0.7964071856287425,0.8737060041407867,0.847682119205298,Samantha,F,Briggs,1682.0,99,Europe,8543,/athletes/samantha-briggs,3,F0,3,394.0,516.0,86.0,134.0,423.0,129.0,60.0,29.0,168.0,8543,/athletes/samantha-briggs,Samantha,Briggs,Europe,F0,F,1682.0,99,-2.531439862166618,-0.04680060449167926,0,333.99573931907724,81.19570451691236,3,0.5007476595192991,0.4963303687792617,3,0.5015839643623791,0.5581173566157602,0
0.5102040816326531,0.1875,0.576923076923077,0.8589108910891089,0.7940717628705148,0.8089887640449438,0.7604790419161677,0.7681159420289855,0.8278145695364238,Elyse,F,Umeda,1557.0,99,Northern California,8563,/athletes/elyse-umeda,4,F0,4,348.0,510.0,73.0,128.0,372.0,126.0,54.0,26.0,160.02,8563,/athletes/elyse-umeda,Elyse,Umeda,Northern California,F0,F,1557.0,99,-3.8738515197343983,-10.549302442243524,0,281.858106999839,53.20768361377471,3,0.49874340601673783,0.4974347815001561,3,0.49802503459090314,0.5553272442117867,0
0.6530612244897959,0.25,0.8076923076923075,0.8787128712871287,0.7425897035881436,0.8876404494382022,0.7784431137724551,0.7474120082815735,0.8145695364238411,Rebecca,F,Voigt,1530.0,99,Southern California,4001,/athletes/rebecca-voigt,6,F0,6,356.0,477.0,80.0,131.0,362.0,124.0,68.0,30.0,175.26,4001,/athletes/rebecca-voigt,Rebecca,Voigt,Southern California,F0,F,1530.0,99,-3.2345719337392835,11.023227162481929,1,266.2407960635167,11.39898904579568,3,0.5015182546407462,0.49456837135112913,3,0.498650049569315,0.5526478214139093,0
0.5612244897959183,0.28125,0.5384615384615382,0.8415841584158416,0.8049921996879875,0.7415730337078652,0.7485029940119761,0.7556935817805382,0.8609271523178808,Alicia,F,Gomes,1548.0,99,Northeast,53869,/athletes/alicia-gomes,8,F0,8,341.0,517.0,67.0,126.0,366.0,131.0,59.0,32.0,157.48,53869,/athletes/alicia-gomes,Alicia,Gomes,Northeast,F0,F,1548.0,99,2.0147538239966223,-8.102109218410007,0,285.2754508704952,5.502454897926264,3,0.4933529402768774,0.5043894536940178,3,0.4961974319183554,0.5559921573475493,0
0.5612244897959183,0.328125,0.7307692307692307,0.995049504950495,0.8065522620904836,0.797752808988764,0.562874251497006,0.772256728778468,0.8410596026490066,Carey,F,Kepler,1590.0,99,South Central,14418,/athletes/carey-kepler,11,F0,11,403.0,518.0,72.0,95.0,374.0,128.0,59.0,35.0,170.18,14418,/athletes/carey-kepler,Carey,Kepler,South Central,F0,F,1590.0,99,3.960537435830993,2.1565908180756708,1,308.157093530393,74.70780510922671,3,0.5018396219026483,0.4993302322503806,3,0.4978805768037367,0.5524163354347036,0
0.5612244897959183,0.234375,0.6538461538461536,0.8886138613861386,0.8049921996879875,0.7865168539325843,0.5748502994011976,0.6997929606625258,0.7682119205298014,Whitney,F,Welsch,1501.0,99,South Central,28197,/athletes/whitney-welsch,16,F0,16,360.0,517.0,71.0,97.0,339.0,117.0,59.0,29.0,165.1,28197,/athletes/whitney-welsch,Whitney,Welsch,South Central,F0,F,1501.0,99,-2.016876876590497,-2.8083379951095435,0,275.02436989599806,-18.73266237882332,3,0.4992232014691729,0.4977869978494209,3,0.4982361366338909,0.5495641914588619,0
0.6530612244897959,0.203125,0.7692307692307692,0.7772277227722773,0.7425897035881436,0.8539325842696629,0.7005988023952096,0.7701863354037267,0.7880794701986755,Stacey,F,Kroon,1480.0,99,Northeast,21446,/athletes/stacey-kroon,17,F0,17,315.0,477.0,77.0,118.0,373.0,120.0,68.0,27.0,172.72,21446,/athletes/stacey-kroon,Stacey,Kroon,Northeast,F0,F,1480.0,99,-5.899696376971278,8.5958731791326,1,250.25179815058826,17.169770271732318,3,0.5002100446150121,0.4937968517320304,3,0.5031058429395043,0.551024576658757,0
0.6632653061224489,0.171875,0.8076923076923075,0.9702970297029703,0.858034321372855,0.8426966292134831,0.592814371257485,0.7246376811594203,0.7152317880794702,Jasmine,F,Dever,1580.0,99,Southwest,39095,/athletes/jasmine-dever,18,F0,18,393.0,551.0,76.0,100.0,351.0,109.0,69.0,25.0,175.26,39095,/athletes/jasmine-dever,Jasmine,Dever,Southwest,F0,F,1580.0,99,-8.336193362705828,10.901099126785518,1,320.3296670703748,-29.258124340188505,3,0.501804461419655,0.4910611715898433,2,0.4984134553381894,0.5517947530516537,0
