Id,Sales
1,4985
857,5089
1713,5519
2569,6594
3425,0
4281,4741
5137,4271
5993,4076
6849,4079
7705,4096
8561,4365
9417,0
10273,4855
11129,5349
11985,5240
12841,5593
13697,5916
14553,7453
15409,0
16265,4999
17121,4671
17977,3967
18833,3877
19689,3859
20545,4215
21401,0
22257,4555
23113,5091
23969,4933
24825,4984
25681,5406
26537,6549
27393,0
28249,4744
29105,4274
29961,4026
30817,4029
31673,4047
32529,4386
33385,0
34241,4812
35097,5319
35953,5145
36809,5227
37665,5607
38521,6758
39377,0
40233,5058
2,5727
858,5847
1714,6891
2570,7928
3426,0
4282,2737
5138,4527
5994,4624
6850,4628
7706,4675
8562,4806
9418,0
10274,2794
11130,5806
11986,6012
12842,6277
13698,7177
14554,9941
15410,0
16266,2965
17122,5281
17978,4785
18834,4679
19690,4675
20546,5113
21402,0
22258,2797
23114,5878
23970,6028
24826,6091
25682,7152
26538,8655
27394,0
28250,2915
29106,4822
29962,4862
30818,4866
31674,5102
32530,5413
33386,0
34242,2957
35098,6379
35954,6522
36810,6637
37666,7693
38522,9116
39378,0
40234,3108
3,5865
859,5987
1715,6343
2571,7495
3427,0
4283,4198
5139,4947
5995,5017
6851,5021
7707,5061
8563,5299
9419,0
10275,4292
11131,6103
11987,6212
12843,6566
13699,6763
14555,9141
15411,0
16267,4536
17123,5981
17979,5376
18835,5257
19691,5249
20547,5720
21403,0
22259,4275
23115,6340
23971,6415
24827,6482
25683,6842
26539,8333
27395,0
28251,4471
29107,5476
29963,5482
30819,5486
31675,5524
32531,5974
33387,0
34243,4535
35099,6654
35955,6688
36811,6820
37667,7146
38523,8713
39379,0
40235,4826
4,4726
860,4821
1716,5603
2572,6753
3428,0
4284,2011
5140,3452
5996,3470
6852,3470
7708,3497
8564,3731
9420,0
10276,2053
11132,4916
11988,5011
12844,5295
13700,5979
14556,7556
15412,0
16268,2043
17124,3875
17980,3462
18836,3383
19692,3377
20548,3682
21404,0
22260,1931
23116,4767
23972,4812
24828,4858
25684,5626
26540,6866
27396,0
28252,2012
29108,3544
29964,3518
30820,3518
31676,3541
32532,3825
33388,0
34244,2041
35100,4978
35956,5010
36812,5105
37668,5881
38524,7162
39380,0
40236,2186
5,7499
861,7655
1717,8204
2573,9897
3429,0
4285,5571
5141,6311
5997,6345
6853,6351
7709,6392
8565,6779
9421,0
10277,5673
11133,7821
11989,7893
12845,8373
13701,8728
14557,10961
15413,0
16269,5620
17125,6831
17981,6146
18837,6010
19693,5984
20549,6567
21405,0
22261,5328
23117,7412
23973,7426
24829,7504
25685,8026
26541,9922
27397,0
28253,5574
29109,6314
29965,6267
30821,6272
31677,6306
32533,6768
33389,0
34245,5654
35101,7777
35957,7750
36813,7874
37669,8336
38525,10169
39381,0
40237,6004
6,7019
862,7165
1718,7860
2574,9697
3430,0
4286,4101
5142,5459
5998,5442
6854,5446
7710,5488
8566,5944
9422,0
10278,4171
11134,7244
11990,7321
12846,7774
13702,8291
14558,10729
15414,0
16270,4121
17126,5905
17982,5281
18838,5164
19694,5155
20550,5707
21406,0
22262,3931
23118,6942
23974,6951
24830,7023
25686,7690
26542,9607
27398,0
28254,4104
29110,5462
29966,5374
30822,5379
31678,5414
32534,5939
33390,0
34246,4162
35102,7259
35958,7244
36814,7360
37670,7914
38526,9865
39382,0
40238,4367
7,7242
863,7393
1719,7896
2575,9600
3431,0
4287,5213
5143,5895
5999,5920
6855,5925
7711,5951
8567,6337
9423,0
10279,5308
11135,7499
11991,7558
12847,7885
13703,8182
14559,10931
15415,0
16271,5294
17127,6392
17983,5734
18839,5607
19695,5580
20551,6058
21407,0
22263,4986
23119,7168
23975,7172
24831,7246
25687,7725
26543,9501
27399,0
28255,5215
29111,5899
29967,5846
30823,5851
31679,5872
32535,6337
33391,0
34247,5290
35103,7520
35959,7485
36815,7587
37671,7955
38527,9800
39383,0
40239,5530
8,7323
864,7475
1720,7975
2576,9796
3432,0
4288,5532
5144,5954
6000,5979
6856,5984
7712,6011
8568,6389
9424,0
10280,5633
11136,7582
11992,7642
12848,7973
13704,8264
14560,11307
15416,0
16272,5618
17128,6455
17984,5791
18840,5662
19696,5635
20552,6108
21408,0
22264,5291
23120,7247
23976,7252
24832,7327
25688,7802
26544,9695
27400,0
28256,5535
29112,5958
29968,5905
30824,5910
31680,5930
32536,6390
33392,0
34248,5614
35104,7604
35960,7568
36816,7672
37672,8035
38528,10001
39384,0
40240,5869
9,5587
865,5698
1721,6140
2577,7566
3433,0
4289,4580
5145,4376
6001,4177
6857,4177
7713,4199
8569,4478
9425,0
10281,4658
11137,5892
11993,5830
12849,6020
13705,6318
14561,8574
15417,0
16273,4830
17129,4804
17985,4065
18841,3971
19697,3945
20553,4300
21409,0
22265,4400
23121,5656
23977,5537
24833,5590
25689,6015
26545,7427
27401,0
28257,0
29113,4378
29969,4126
30825,4126
31681,4137
32537,4474
33393,0
34249,0
35105,5901
35961,5766
36817,5853
37673,6195
38529,7601
39385,0
40241,4794
10,5791
866,5907
1722,6412
2578,7747
3434,0
4290,3400
5146,4557
6002,4446
6858,4446
7714,4473
8570,4731
9426,0
10282,3458
11138,6062
11994,6111
12850,6375
13706,6719
14562,8853
15418,0
16274,3440
17130,4946
17986,4323
18842,4223
19698,4203
20554,4622
21410,0
22266,3264
23122,5751
23978,5735
24834,5790
25690,6273
26546,7805
27402,0
28258,3402
29114,4560
29970,4391
30826,4391
31682,4413
32538,4738
33394,0
34250,3451
35106,6004
35962,5976
36818,6053
37674,6533
38530,7998
39386,0
40242,3668
11,9000
867,9180
1723,9681
2579,12189
3435,0
4291,7653
5147,7843
6003,7326
6859,7326
7715,7324
8571,7843
9427,0
10283,7794
11139,9664
11995,9497
12851,9782
13707,10034
14563,14153
15419,0
16275,8047
17131,8538
17987,7104
18843,6938
19699,6890
20555,7545
21411,0
22267,7326
23123,9143
23979,8920
24835,9005
25691,9483
26547,12075
27403,0
28259,7657
29115,7847
29971,7235
30827,7235
31683,7250
32539,7880
33395,0
34251,7767
35107,9585
35963,9301
36819,9421
37675,9875
38531,12546
39387,0
40243,8100
12,8316
868,8489
1724,9097
2580,11095
3436,0
4292,5409
5148,6747
6004,6784
6860,6790
7716,6844
8572,7358
9428,0
10284,5509
11140,8606
11996,8685
12852,9218
13708,9609
14564,12368
15420,0
16276,5438
17132,7303
17988,6571
18844,6425
19700,6406
20556,6998
21412,0
22268,5174
23124,8219
23980,8235
24836,8321
25692,8900
26548,10955
27404,0
28260,5412
29116,6751
29972,6700
30828,6706
31684,6742
32540,7309
33396,0
34252,5490
35108,8624
35964,8594
36820,8731
37676,9172
38532,11303
39388,0
40244,5764
13,8785
869,8968
1725,9584
2581,11853
3437,0
4293,5876
5149,7134
6005,7173
6861,7179
7717,7240
8573,7749
9429,0
10285,5984
11141,9185
11997,9270
12853,9690
13709,10061
14565,13712
15421,0
16277,5917
17133,7734
17989,6947
18845,6793
19701,6778
20557,7531
21413,0
22269,5620
23125,8682
23981,8700
24837,8790
25693,9376
26549,11901
27405,0
28261,5879
29117,7138
29973,7084
30829,7090
31685,7143
32541,7743
33397,0
34253,5963
35109,9110
35965,9079
36821,9204
37677,9763
38533,12226
39389,0
40245,6303
14,9685
870,9878
1726,10604
2582,12680
3438,0
4294,8092
5150,8466
6006,7847
6862,7847
7718,7883
8574,8402
9430,0
10286,8229
11142,10599
11998,10262
12854,10582
13710,11064
14566,14225
15422,0
16278,8503
17134,9258
17990,7625
18846,7460
19702,7408
20558,8056
21414,0
22270,7775
23126,9990
23982,9584
24838,9676
25694,10387
26550,12465
27406,0
28262,0
29118,8471
29974,7750
30830,7750
31686,7766
32542,8395
33398,0
34254,8212
35110,10454
35966,9995
36822,10124
37678,10861
38534,12961
39390,0
40246,8626
15,5496
871,5611
1727,5954
2583,7265
3439,0
4295,4676
5151,4596
6007,4197
6863,4201
7719,4221
8575,4521
9431,0
10287,4762
11143,5865
11999,5744
12855,5935
13711,6135
14567,8384
15423,0
16279,4926
17135,5040
17991,4070
18847,3978
19703,3951
20559,4312
21415,0
22271,4476
23127,5594
23983,5439
24839,5496
25695,5833
26551,7192
27407,0
28263,4679
29119,4599
29975,4145
30831,4149
