Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Day,DayInt,Month,Open,Promo,Promo2,Promo2SinceWeek,Promo2SinceYear,SchoolHoliday,Store,StoreType,Weekend,Year
0,1270.0,9.0,2008.0,17,3,9,1.0,1,0,-1.0,-1.0,0,1,2,0,2015
0,1270.0,9.0,2008.0,16,2,9,1.0,1,0,-1.0,-1.0,0,1,2,0,2015
0,1270.0,9.0,2008.0,15,1,9,1.0,1,0,-1.0,-1.0,0,1,2,0,2015
0,1270.0,9.0,2008.0,14,0,9,1.0,1,0,-1.0,-1.0,0,1,2,0,2015
0,1270.0,9.0,2008.0,13,6,9,0.0,0,0,-1.0,-1.0,0,1,2,1,2015
0,1270.0,9.0,2008.0,12,5,9,1.0,0,0,-1.0,-1.0,0,1,2,1,2015
0,1270.0,9.0,2008.0,11,4,9,1.0,0,0,-1.0,-1.0,0,1,2,0,2015
0,1270.0,9.0,2008.0,10,3,9,1.0,0,0,-1.0,-1.0,0,1,2,0,2015
0,1270.0,9.0,2008.0,9,2,9,1.0,0,0,-1.0,-1.0,0,1,2,0,2015
0,1270.0,9.0,2008.0,8,1,9,1.0,0,0,-1.0,-1.0,0,1,2,0,2015
0,1270.0,9.0,2008.0,7,0,9,1.0,0,0,-1.0,-1.0,0,1,2,0,2015
0,1270.0,9.0,2008.0,6,6,9,0.0,0,0,-1.0,-1.0,0,1,2,1,2015
0,1270.0,9.0,2008.0,5,5,9,1.0,0,0,-1.0,-1.0,0,1,2,1,2015
0,1270.0,9.0,2008.0,4,4,9,1.0,1,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,3,3,9,1.0,1,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,2,2,9,1.0,1,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,1,1,9,1.0,1,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,31,0,8,1.0,1,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,30,6,8,0.0,0,0,-1.0,-1.0,1,1,2,1,2015
0,1270.0,9.0,2008.0,29,5,8,1.0,0,0,-1.0,-1.0,1,1,2,1,2015
0,1270.0,9.0,2008.0,28,4,8,1.0,0,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,27,3,8,1.0,0,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,26,2,8,1.0,0,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,25,1,8,1.0,0,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,24,0,8,1.0,0,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,23,6,8,0.0,0,0,-1.0,-1.0,1,1,2,1,2015
0,1270.0,9.0,2008.0,22,5,8,1.0,0,0,-1.0,-1.0,1,1,2,1,2015
0,1270.0,9.0,2008.0,21,4,8,1.0,1,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,20,3,8,1.0,1,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,19,2,8,1.0,1,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,18,1,8,1.0,1,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,17,0,8,1.0,1,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,16,6,8,0.0,0,0,-1.0,-1.0,1,1,2,1,2015
0,1270.0,9.0,2008.0,15,5,8,1.0,0,0,-1.0,-1.0,1,1,2,1,2015
0,1270.0,9.0,2008.0,14,4,8,1.0,0,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,13,3,8,1.0,0,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,12,2,8,1.0,0,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,11,1,8,1.0,0,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,10,0,8,1.0,0,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,9,6,8,0.0,0,0,-1.0,-1.0,1,1,2,1,2015
0,1270.0,9.0,2008.0,8,5,8,1.0,0,0,-1.0,-1.0,1,1,2,1,2015
0,1270.0,9.0,2008.0,7,4,8,1.0,1,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,6,3,8,1.0,1,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,5,2,8,1.0,1,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,4,1,8,1.0,1,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,3,0,8,1.0,1,0,-1.0,-1.0,1,1,2,0,2015
0,1270.0,9.0,2008.0,2,6,8,0.0,0,0,-1.0,-1.0,1,1,2,1,2015
0,1270.0,9.0,2008.0,1,5,8,1.0,0,0,-1.0,-1.0,1,1,2,1,2015
0,14130.0,12.0,2006.0,17,3,9,1.0,1,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,16,2,9,1.0,1,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,15,1,9,1.0,1,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,14,0,9,1.0,1,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,13,6,9,0.0,0,1,14.0,2011.0,0,3,0,1,2015
0,14130.0,12.0,2006.0,12,5,9,1.0,0,1,14.0,2011.0,0,3,0,1,2015
0,14130.0,12.0,2006.0,11,4,9,1.0,0,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,10,3,9,1.0,0,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,9,2,9,1.0,0,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,8,1,9,1.0,0,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,7,0,9,1.0,0,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,6,6,9,0.0,0,1,14.0,2011.0,0,3,0,1,2015
0,14130.0,12.0,2006.0,5,5,9,1.0,0,1,14.0,2011.0,0,3,0,1,2015
0,14130.0,12.0,2006.0,4,4,9,1.0,1,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,3,3,9,1.0,1,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,2,2,9,1.0,1,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,1,1,9,1.0,1,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,31,0,8,1.0,1,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,30,6,8,0.0,0,1,14.0,2011.0,0,3,0,1,2015
0,14130.0,12.0,2006.0,29,5,8,1.0,0,1,14.0,2011.0,0,3,0,1,2015
0,14130.0,12.0,2006.0,28,4,8,1.0,0,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,27,3,8,1.0,0,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,26,2,8,1.0,0,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,25,1,8,1.0,0,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,24,0,8,1.0,0,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,23,6,8,0.0,0,1,14.0,2011.0,0,3,0,1,2015
0,14130.0,12.0,2006.0,22,5,8,1.0,0,1,14.0,2011.0,0,3,0,1,2015
0,14130.0,12.0,2006.0,21,4,8,1.0,1,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,20,3,8,1.0,1,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,19,2,8,1.0,1,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,18,1,8,1.0,1,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,17,0,8,1.0,1,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,16,6,8,0.0,0,1,14.0,2011.0,0,3,0,1,2015
0,14130.0,12.0,2006.0,15,5,8,1.0,0,1,14.0,2011.0,0,3,0,1,2015
0,14130.0,12.0,2006.0,14,4,8,1.0,0,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,13,3,8,1.0,0,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,12,2,8,1.0,0,1,14.0,2011.0,0,3,0,0,2015
0,14130.0,12.0,2006.0,11,1,8,1.0,0,1,14.0,2011.0,1,3,0,0,2015
0,14130.0,12.0,2006.0,10,0,8,1.0,0,1,14.0,2011.0,1,3,0,0,2015
0,14130.0,12.0,2006.0,9,6,8,0.0,0,1,14.0,2011.0,0,3,0,1,2015
0,14130.0,12.0,2006.0,8,5,8,1.0,0,1,14.0,2011.0,0,3,0,1,2015
0,14130.0,12.0,2006.0,7,4,8,1.0,1,1,14.0,2011.0,1,3,0,0,2015
0,14130.0,12.0,2006.0,6,3,8,1.0,1,1,14.0,2011.0,1,3,0,0,2015
0,14130.0,12.0,2006.0,5,2,8,1.0,1,1,14.0,2011.0,1,3,0,0,2015
0,14130.0,12.0,2006.0,4,1,8,1.0,1,1,14.0,2011.0,1,3,0,0,2015
0,14130.0,12.0,2006.0,3,0,8,1.0,1,1,14.0,2011.0,1,3,0,0,2015
0,14130.0,12.0,2006.0,2,6,8,0.0,0,1,14.0,2011.0,0,3,0,1,2015
0,14130.0,12.0,2006.0,1,5,8,1.0,0,1,14.0,2011.0,0,3,0,1,2015
2,24000.0,4.0,2013.0,17,3,9,1.0,1,0,-1.0,-1.0,0,7,0,0,2015
2,24000.0,4.0,2013.0,16,2,9,1.0,1,0,-1.0,-1.0,0,7,0,0,2015
2,24000.0,4.0,2013.0,15,1,9,1.0,1,0,-1.0,-1.0,0,7,0,0,2015
2,24000.0,4.0,2013.0,14,0,9,1.0,1,0,-1.0,-1.0,0,7,0,0,2015
2,24000.0,4.0,2013.0,13,6,9,0.0,0,0,-1.0,-1.0,0,7,0,1,2015
2,24000.0,4.0,2013.0,12,5,9,1.0,0,0,-1.0,-1.0,0,7,0,1,2015
2,24000.0,4.0,2013.0,11,4,9,1.0,0,0,-1.0,-1.0,0,7,0,0,2015
2,24000.0,4.0,2013.0,10,3,9,1.0,0,0,-1.0,-1.0,0,7,0,0,2015
2,24000.0,4.0,2013.0,9,2,9,1.0,0,0,-1.0,-1.0,0,7,0,0,2015
2,24000.0,4.0,2013.0,8,1,9,1.0,0,0,-1.0,-1.0,0,7,0,0,2015
2,24000.0,4.0,2013.0,7,0,9,1.0,0,0,-1.0,-1.0,0,7,0,0,2015
